reference,city,latitude,longitude,nearest_destination_id,nearest_destination_name
AD - Andorra La Bella,Andorra La Bella,42.506761550903,1.5307675004005,50643,Andorra la Vella
AD - Andorra La Vella,Andorra La Vella,42.50872162691828,1.5287595793544286,50643,Andorra la Vella
AD - Arinsal,Arinsal,42.575615,1.48118,50643,Andorra la Vella
AD - El Pas de la Casa,El Pas de la Casa,42.542286,1.7341768,21795,Andorra
AD - Escaldes-Engordany,Escaldes-Engordany,42.50966121964533,1.537282652867633,50643,Andorra la Vella
AD - Grau Roig,Grau Roig,42.532760620117,1.7009799480438,21795,Andorra
AD - Les Escaldes,Les Escaldes,42.5108165,1.539905,50643,Andorra la Vella
AD - Ordino,Ordino,42.555835723877,1.5352989435196,50643,Andorra la Vella
AE - Abu Dhabi,Abu Dhabi,24.45941246110098,54.46062095361339,4474,Abu Dhabi
AE - Abu Dhabi - Abu Dhabi,Abu Dhabi,24.400076,54.482105,4474,Abu Dhabi
AE - Ajman,Ajman,25.406131125802,55.46186707714843,38683,Ajman
AE - Al Ain,Al Ain,24.20801,55.804787,25942,Al Ain
AE - Al Aqah,Al Aqah,25.492658615112,56.360172271729,4473,Fujairah
AE - Al Wathba,Al Wathba,24.468246,54.598606,4474,Abu Dhabi
AE - Bur Dubai,Bur Dubai,25.256477,55.298275,828,Dubai
AE - DUBAI - Dubai,Dubai,25.072326660156,55.136100769043,51421,Palm Jumeirah
AE - Dibba,Dibba,25.600818634033,56.3388671875,25313,Ras Al Khaimah
AE - Dubai,Dubai,25.19059079355313,55.26354699551591,828,Dubai
AE - Dubai - Jebel Ali,Jebel Ali,24.89667,55.16139,51421,Palm Jumeirah
AE - Fujairah,Fujairah,25.16459682938625,56.33812785813384,4473,Fujairah
AE - Parrot Cay,Parrot Cay,21.9360560685425,-72.054108833008,969,Providenciales
AE - Pine Cay,Pine Cay,21.873884,-72.09753,969,Providenciales
AE - Provicenciales,Provicenciales,21.791551589966,-72.191528320312,969,Providenciales
AE - Providenciales,Providenciales,21.789478944335155,-72.19819981500247,969,Providenciales
AE - Ras Al Khaimah,Ras Al Khaimah,25.733351139878177,55.860023247917646,25313,Ras Al Khaimah
AE - Sharjah,Sharjah,25.32433757647703,55.388725021972704,26417,Sharjah
AE - Sir Bani Yas Island,Sir Bani Yas Island,24.36684,52.598644,51315,Madinat Zayed
AE - The Walk,The Walk,25.077524,55.133488,51421,Palm Jumeirah
AE - United Arab Emirates - Dubai,Dubai,25.125355,55.11389,51421,Palm Jumeirah
AE - Warisan,Warisan,25.200305,55.430659,828,Dubai
AE - Whitby,Whitby,21.955156,-71.96162,963,Turks and Caicos
AE - Yas Island,Yas Island,24.464677810669,54.598850250244,4474,Abu Dhabi
AG - Antigua,Antigua,17.136667,-61.792778,22047,St John's
AG - Falmouth Harbour,Falmouth Harbour,17.014072543035454,-61.77218466907837,27,Antigua and Barbuda
AG - Saint John's,Saint John's,17.144347487312206,-61.853574845155016,22047,St John's
AI - Anguilla,Anguilla,18.19947447947369,-63.081689747368415,810,Anguilla
AI - Berat,Berat,40.70145,19.95694,51916,Berat County
AI - Rendezvous Bay,Rendezvous Bay,18.178933730679727,-63.113461459073,810,Anguilla
AI - The Valley,The Valley,18.201784,-63.089832,810,Anguilla
AI - West End Village,West End Village,18.18235569094407,-63.1365795872455,810,Anguilla
AL - Berat,Berat,40.70198533333333,19.954057,51916,Berat County
AL - Durrës,Durrës,41.311672,19.48189,23957,Tirana
AL - Sarandë,Sarandë,39.8696487182615,20.009778781311,50197,Saranda
AL - Tirana,Tirana,41.34056435786185,19.799146334959,23957,Tirana
AL - Vlorë,Vlorë,40.421871185303,19.488847732544,50368,Vlore
AM - Yerevan,Yerevan,40.16903768944336,44.47338191041984,22425,Yerevan
AN - Bonaire,Bonaire,12.131111,-68.26861,4309,Kralendijk
AN - Curacao,Curacao,12.2,-68.96667,725,Curacao
AN - St Maarten,St Maarten,18.040833,-63.10889,728,St Maarten
AO - Luanda,Luanda,-8.77904618,13.24193177,34194,Luanda
AR - AG,AG,17.010946273804,-61.770801544189,27,Antigua and Barbuda
AR - Ag,Ag,17.010946273804,-61.770801544189,27,Antigua and Barbuda
AR - Alta Gracia,Alta Gracia,-31.7008925,-64.4623225,22281,Córdoba
AR - Antigua,Antigua,17.10122534021739,-61.84134433956522,22047,St John's
AR - Bariloche,Bariloche,-41.13057085258345,-71.32834236749828,938,Bariloche
AR - Barnes Hill,Barnes Hill,17.15224,-61.788605,22047,St John's
AR - Bolans Village,Bolans Village,17.063684463501,-61.887363433838,50369,Five Islands Village
AR - Buenos Aires,Buenos Aires,-34.59875289972717,-58.39257838313793,901,Buenos Aires
AR - Cafayate,Cafayate,-26.058743,-65.970314,31320,Cafayate
AR - Capilla del Monte,Capilla del Monte,-30.860468,-64.52498,22281,Córdoba
AR - Carilo,Carilo,-37.165318,-56.89525,4515,Montevideo
AR - Catamarca,Catamarca,-28.46855,-65.781876,51388,La Rioja Province
AR - Chacras de Coria,Chacras de Coria,-32.99208288604725,-68.8866607904055,52093,Lujan de Cuyo
AR - Ciudad Evita,Ciudad Evita,-34.73349774641933,-58.520034860026,52102,Ezeiza
AR - Cordoba,Cordoba,-31.453114378482024,-64.22018691213376,22281,Córdoba
AR - Dina Huapi,Dina Huapi,-41.084819793701,-71.18440246582,938,Bariloche
AR - El Calafate,El Calafate,-50.33886834821509,-72.2660989393105,935,El Calafate
AR - El Chalten,El Chalten,-49.32827722494577,-72.8890074129601,23529,El Chaltén
AR - English Harbour,English Harbour,17.01172694741825,-61.76473863159175,27,Antigua and Barbuda
AR - Ezeiza,Ezeiza,-34.853764823913586,-58.50517872772242,52102,Ezeiza
AR - Five Islands,Five Islands,17.1070804577855,-61.901208878457,50369,Five Islands Village
AR - Freetown,Freetown,17.072697159276334,-61.69965313819362,27,Antigua and Barbuda
AR - Guaymallen,Guaymallen,-32.900482,-68.80024,51255,Mendoza Province
AR - Jardin America,Jardin America,-27.0122887,-55.19034773,971,Puerto Iguazu
AR - Johnson's Point,Johnson's Point,17.031462368988,-61.8902477004395,22046,Antigua
AR - Jolly Harbour,Jolly Harbour,17.063682874541207,-61.88736600172586,50369,Five Islands Village
AR - La Cumbre,La Cumbre,-30.954748,-64.49105,22281,Córdoba
AR - La Falda,La Falda,-31.091934,-64.4714,22281,Córdoba
AR - La Plata,La Plata,-34.911735146281,-57.950615898234,22385,Colonia del Sacramento
AR - La Punta,La Punta,-33.19627,-66.34281,50926,Maipu
AR - Los Molles,Los Molles,-35.147354,-70.07865,307,North Chile
AR - Lujan,Lujan,-33.037903,-68.93012,52093,Lujan de Cuyo
AR - Maipu,Maipu,-32.9763406237795,-68.7962340654295,50926,Maipu
AR - Malargüe,Malargüe,-35.14694,-70.07762,307,North Chile
AR - Mamora Bay,Mamora Bay,17.016717970255666,-61.73294022460933,27,Antigua and Barbuda
AR - Mar del Plata,Mar del Plata,-38.007400512695,-57.539228439331,36397,Mar del Plata
AR - Mendoza,Mendoza,-32.89352996800229,-68.84430695202175,931,Mendoza
AR - Merlo,Merlo,-32.347494480062004,-65.00320573404933,22281,Córdoba
AR - Mina Clavero,Mina Clavero,-31.731416,-65.010275,22281,Córdoba
AR - Monte Grande,Monte Grande,-34.808120727539,-58.470348358154,52102,Ezeiza
AR - Neuquen,Neuquen,-38.958725,-68.11415,21484,San Martin de los Andes
AR - Nono,Nono,-31.762543,-64.99691,22281,Córdoba
AR - Obera,Obera,-27.4857,-55.12299,971,Puerto Iguazu
AR - Pinamar,Pinamar,-37.1080368444825,-56.863694142456,4515,Montevideo
AR - Posadas,Posadas,-27.366989135742,-55.894420623779,971,Puerto Iguazu
AR - Potrerillos,Potrerillos,-32.9644,-69.20636,52093,Lujan de Cuyo
AR - Puerto Iguazu,Puerto Iguazu,-25.608160765704035,-54.55893220582573,971,Puerto Iguazu
AR - Puerto Madryn,Puerto Madryn,-42.7778815,-65.01980750000001,4414,Puerto Madryn
AR - Puerto Piramides,Puerto Piramides,-42.5715954,-64.28132305,4414,Puerto Madryn
AR - Rafaela,Rafaela,-31.248066,-61.490627,22280,The Pampas
AR - Resistencia,Resistencia,-27.45097092,-58.98499489,51387,Corrientes Province
AR - Rio Gallegos,Rio Gallegos,-51.6217765,-69.21659,51321,Tierra del Fuego National Park
AR - Rosario,Rosario,-32.9410945659425,-60.64586566235361,22280,The Pampas
AR - Saint John,Saint John,17.151820350491167,-61.84474940406628,22047,St John's
AR - Saint John's,Saint John's,17.13406412698413,-61.86610480952381,22047,St John's
AR - Saint Johns,Saint Johns,17.155870907308,-61.84927466691067,22047,St John's
AR - Salta,Salta,-24.7830256,-65.408608,5484,Salta
AR - San Carlos de Bariloche,San Carlos de Bariloche,-41.12628632558398,-71.34802735931522,938,Bariloche
